rid,eqtime,avsize,finalsize,stateent,runtime,netent
0,5.000000,300.000000,300,0.000000,0.980000,-1.322600
1,7.000000,300.000000,300,0.000000,1.200000,-1.233490
2,4.000000,300.000000,300,0.000000,0.750000,-1.390790
3,5.000000,300.000000,300,0.000000,0.870000,-1.290760
4,4.000000,300.000000,300,0.000000,0.730000,-1.341530
5,5.000000,300.000000,300,-0.226968,1.050000,-1.375480
6,4.500000,300.000000,300,0.000000,0.830000,-1.342630
7,4.000000,300.000000,300,0.000000,0.750000,-1.319480
8,6.000000,300.000000,300,0.000000,1.130000,-1.314770
9,5.000000,300.000000,300,0.000000,0.870000,-1.334010
10,5.000000,300.000000,300,-0.339489,0.820000,-1.301860
11,4.500000,300.000000,300,0.000000,0.780000,-1.311150
12,4.500000,300.000000,300,0.000000,0.810000,-1.330430
13,4.500000,300.000000,300,-0.294757,0.860000,-1.327060
14,4.500000,300.000000,300,-0.346515,0.780000,-1.280450
15,4.500000,300.000000,300,0.000000,0.930000,-1.288090
16,5.000000,300.000000,300,0.000000,1.010000,-1.296850
17,4.500000,300.000000,300,0.000000,0.860000,-1.313470
18,5.500000,300.000000,300,-0.040049,0.940000,-1.393430
19,5.000000,300.000000,300,0.000000,1.070000,-1.365610
20,4.500000,300.000000,300,0.000000,0.830000,-1.375400
21,5.000000,300.000000,300,-0.178397,0.960000,-1.304060
22,4.500000,300.000000,300,-0.157202,0.800000,-1.356810
23,4.500000,300.000000,300,0.000000,0.960000,-1.326960
24,4.500000,300.000000,300,0.000000,0.900000,-1.361380
25,5.000000,300.000000,300,0.000000,1.070000,-1.300570
26,4.000000,300.000000,300,-0.294757,0.740000,-1.364060
27,6.000000,300.000000,300,0.000000,1.030000,-1.342870
28,4.500000,300.000000,300,0.000000,0.900000,-1.398410
29,5.500000,300.000000,300,-0.188581,0.900000,-1.357990
30,4.500000,300.000000,300,-0.208215,0.930000,-1.256040
31,5.000000,300.000000,300,-0.022340,1.100000,-1.379100
32,4.500000,300.000000,300,0.000000,0.900000,-1.371530
33,4.500000,300.000000,300,-0.302538,0.840000,-1.337740
34,5.000000,300.000000,300,0.000000,1.040000,-1.265370
35,4.500000,300.000000,300,0.000000,0.920000,-1.311590
36,4.500000,300.000000,300,0.000000,1.000000,-1.372120
37,5.500000,300.000000,300,-0.353428,1.090000,-1.305380
38,5.000000,300.000000,300,0.000000,0.980000,-1.316950
39,5.500000,300.000000,300,-0.040049,1.090000,-1.337860
40,5.500000,300.000000,300,0.000000,1.090000,-1.329010
41,5.500000,300.000000,300,-0.226968,1.080000,-1.327940
42,5.500000,300.000000,300,-0.286836,1.050000,-1.273460
43,4.500000,300.000000,300,0.000000,0.850000,-1.381380
44,4.500000,300.000000,300,0.000000,0.880000,-1.305820
45,4.500000,300.000000,300,-0.476411,0.930000,-1.403680
46,6.500000,300.000000,300,-0.317697,1.230000,-1.229350
47,4.500000,300.000000,300,-0.022340,0.960000,-1.235040
48,4.500000,300.000000,300,0.000000,0.850000,-1.310800
49,5.500000,300.000000,300,-0.302538,1.110000,-1.391600
50,6.000000,300.000000,300,0.000000,1.150000,-1.250450
51,5.500000,300.000000,300,0.000000,1.050000,-1.357830
52,5.000000,300.000000,300,0.000000,1.000000,-1.300780
53,5.000000,300.000000,300,-0.450561,1.050000,-1.401910
54,6.000000,300.000000,300,-0.070811,1.100000,-1.376010
55,4.000000,300.000000,300,-0.022340,0.910000,-1.256080
56,4.000000,300.000000,300,0.000000,0.770000,-1.311590
57,4.500000,300.000000,300,-0.286836,0.830000,-1.392770
58,4.000000,300.000000,300,-0.386387,0.750000,-1.320270
59,5.000000,300.000000,300,0.000000,0.960000,-1.365630
60,5.000000,300.000000,300,0.000000,0.910000,-1.362730
61,5.500000,300.000000,300,-0.286836,0.980000,-1.271840
62,4.500000,300.000000,300,-0.270552,0.640000,-1.408360
63,4.500000,300.000000,300,-0.022340,0.840000,-1.380540
64,4.500000,300.000000,300,0.000000,0.870000,-1.350750
65,4.000000,300.000000,300,-0.602152,0.730000,-1.364500
66,5.500000,300.000000,300,0.000000,0.930000,-1.354990
67,5.500000,300.000000,300,-0.410969,0.970000,-1.303730
68,4.500000,300.000000,300,0.000000,0.840000,-1.398780
69,5.000000,300.000000,300,-0.332346,1.000000,-1.390070
70,4.500000,300.000000,300,0.000000,0.930000,-1.343820
71,4.000000,300.000000,300,-0.270552,0.830000,-1.297490
72,4.500000,300.000000,300,0.000000,0.890000,-1.339600
73,5.000000,300.000000,300,-0.554892,0.980000,-1.357080
74,4.500000,300.000000,300,-0.373514,0.900000,-1.333960
75,6.500000,300.000000,300,-0.445156,1.210000,-1.375710
76,4.500000,300.000000,300,0.000000,0.930000,-1.402610
77,4.000000,300.000000,300,-0.278769,0.740000,-1.288420
78,4.000000,300.000000,300,-0.339489,0.890000,-1.315420
79,4.500000,300.000000,300,-0.253639,0.900000,-1.346210
80,5.000000,300.000000,300,0.000000,0.900000,-1.376730
81,4.500000,300.000000,300,-0.428448,0.860000,-1.355800
82,4.500000,300.000000,300,-0.084766,0.800000,-1.405090
83,5.500000,300.000000,300,-0.353428,1.060000,-1.346200
84,4.500000,300.000000,300,0.000000,0.970000,-1.411430
85,4.000000,300.000000,300,-0.236042,0.750000,-1.281950
86,6.000000,300.000000,300,-0.070811,1.130000,-1.341210
87,6.500000,300.000000,300,-0.262177,1.290000,-1.254750
88,4.500000,300.000000,300,0.000000,0.910000,-1.330130
89,5.000000,300.000000,300,-0.404963,0.950000,-1.256170
90,5.000000,300.000000,300,-0.253639,0.980000,-1.356380
91,7.000000,300.000000,300,-0.270552,1.280000,-1.351880
92,4.500000,300.000000,300,0.000000,0.830000,-1.424540
93,5.500000,300.000000,300,-0.332346,1.020000,-1.370290
94,5.500000,300.000000,300,-0.253639,1.020000,-1.421270
95,5.000000,300.000000,300,-0.262177,0.970000,-1.299690
96,5.000000,300.000000,300,0.000000,0.920000,-1.347210
97,4.000000,300.000000,300,-0.360231,0.860000,-1.362670
98,5.000000,300.000000,300,0.000000,1.010000,-1.313760
99,4.500000,300.000000,300,-0.346515,0.920000,-1.294480
100,4.500000,300.000000,300,0.000000,0.890000,-1.316690
101,4.000000,300.000000,300,-0.070811,0.890000,-1.388280
102,5.500000,300.000000,300,0.000000,1.050000,-1.340520
103,4.000000,300.000000,300,-0.325083,0.780000,-1.334830
104,4.500000,300.000000,300,0.000000,0.830000,-1.327480
105,4.500000,300.000000,300,-0.317697,0.860000,-1.334320
106,4.500000,300.000000,300,-0.270552,0.880000,-1.358560
107,4.000000,300.000000,300,-0.439670,0.740000,-1.326930
108,4.000000,300.000000,300,0.000000,0.780000,-1.333790
109,7.000000,300.000000,300,-0.040049,1.220000,-1.328730
110,5.000000,300.000000,300,-0.325083,0.860000,-1.335800
111,4.000000,300.000000,300,-0.332346,0.990000,-1.326960
112,5.000000,300.000000,300,0.000000,1.240000,-1.319320
113,4.500000,300.000000,300,-0.294757,0.820000,-1.333390
114,4.000000,300.000000,300,-0.022340,0.710000,-1.337160
115,5.500000,300.000000,300,-0.302538,0.920000,-1.295440
116,4.000000,300.000000,300,0.000000,0.710000,-1.358830
117,4.500000,300.000000,300,-0.070811,0.860000,-1.324310
118,6.000000,300.000000,300,-0.178397,1.040000,-1.291350
119,4.500000,300.000000,300,-0.325083,0.850000,-1.339700
120,6.000000,300.000000,300,0.000000,1.090000,-1.356590
121,5.000000,300.000000,300,-0.270552,0.940000,-1.357010
122,4.000000,300.000000,300,-0.262177,0.750000,-1.358450
123,5.500000,300.000000,300,-0.310183,1.100000,-1.313740
124,5.000000,300.000000,300,0.000000,0.930000,-1.372390
125,4.000000,300.000000,300,-0.070811,0.810000,-1.376470
126,5.000000,300.000000,300,-0.253639,0.960000,-1.352610
127,4.000000,300.000000,300,-0.339489,0.850000,-1.302480
128,4.000000,300.000000,300,0.000000,0.770000,-1.423800
129,4.500000,300.000000,300,0.000000,1.010000,-1.331250
130,4.500000,300.000000,300,-0.022340,0.840000,-1.345470
131,5.000000,300.000000,300,-0.346515,0.850000,-1.320170
132,5.500000,300.000000,300,0.000000,0.980000,-1.346630
133,5.000000,300.000000,300,-0.270552,0.890000,-1.414910
134,4.000000,300.000000,300,-0.040049,0.800000,-1.384640
135,6.500000,300.000000,300,-0.310183,1.120000,-1.371840
136,5.000000,300.000000,300,0.000000,0.970000,-1.292100
137,5.500000,300.000000,300,0.000000,0.970000,-1.317500
138,4.500000,300.000000,300,-0.339489,0.820000,-1.353820
139,5.500000,300.000000,300,-0.294757,0.980000,-1.295110
140,4.000000,300.000000,300,0.000000,0.740000,-1.379220
141,5.000000,300.000000,300,-0.198515,0.920000,-1.312260
142,4.000000,300.000000,300,-0.310183,0.730000,-1.351050
143,6.000000,300.000000,300,-0.325083,1.160000,-1.344590
144,6.000000,300.000000,300,0.000000,1.100000,-1.328450
145,4.500000,300.000000,300,0.000000,0.830000,-1.352300
146,6.000000,300.000000,300,-0.040049,0.960000,-1.297880
147,4.500000,300.000000,300,-0.346515,0.820000,-1.262430
148,5.000000,300.000000,300,0.000000,0.890000,-1.307250
149,5.500000,300.000000,300,-0.188581,0.980000,-1.299800
150,5.500000,300.000000,300,-0.134742,0.980000,-1.267150
151,4.500000,300.000000,300,-0.317697,0.850000,-1.396040
152,5.000000,300.000000,300,0.000000,0.950000,-1.398590
153,4.500000,300.000000,300,0.000000,0.810000,-1.348170
154,5.500000,300.000000,300,-0.439670,0.980000,-1.328530
155,4.500000,300.000000,300,-0.270552,0.820000,-1.264880
156,4.500000,300.000000,300,0.000000,0.860000,-1.386760
157,6.000000,300.000000,300,-0.317697,1.020000,-1.422280
158,4.000000,300.000000,300,-0.310183,0.750000,-1.427640
159,4.500000,300.000000,300,-0.339489,0.850000,-1.414470
160,4.500000,300.000000,300,0.000000,0.780000,-1.381710
161,4.500000,300.000000,300,-0.262177,0.890000,-1.301210
162,5.500000,300.000000,300,-0.022340,0.970000,-1.288110
163,5.000000,300.000000,300,-0.317697,0.900000,-1.333900
164,7.000000,300.000000,300,0.000000,1.290000,-1.316240
165,6.000000,300.000000,300,-0.278769,1.030000,-1.249590
166,6.500000,300.000000,300,-0.040049,1.160000,-1.394160
167,4.500000,300.000000,300,-0.491020,0.780000,-1.430930
168,4.500000,300.000000,300,0.000000,0.700000,-1.374780
169,4.000000,300.000000,300,-0.392674,0.730000,-1.315700
170,6.000000,300.000000,300,-0.346515,1.070000,-1.366000
171,4.000000,300.000000,300,-0.325083,0.830000,-1.428830
172,5.000000,300.000000,300,0.000000,0.970000,-1.296130
173,6.500000,300.000000,300,-0.366925,1.240000,-1.399070
174,4.500000,300.000000,300,-0.294757,0.880000,-1.318810
175,4.500000,300.000000,300,-0.353428,0.870000,-1.393200
176,4.500000,300.000000,300,0.000000,0.840000,-1.359080
177,6.000000,300.000000,300,-0.346515,1.090000,-1.350590
178,5.000000,300.000000,300,-0.070811,0.950000,-1.319450
179,5.500000,300.000000,300,-0.198515,1.070000,-1.389630
180,5.500000,300.000000,300,0.000000,0.980000,-1.329950
181,4.500000,300.000000,300,-0.491020,0.900000,-1.400340
182,5.000000,300.000000,300,-0.110743,0.890000,-1.384520
183,5.500000,300.000000,300,-0.332346,1.040000,-1.344800
184,5.000000,300.000000,300,0.000000,0.890000,-1.283120
185,4.500000,300.000000,300,-0.339489,0.900000,-1.269090
186,5.000000,300.000000,300,-0.226968,0.900000,-1.311610
187,4.500000,300.000000,300,-0.253639,0.950000,-1.411290
188,5.500000,300.000000,300,0.000000,1.160000,-1.237850
189,5.000000,300.000000,300,-0.404963,1.010000,-1.356920
190,4.500000,300.000000,300,-0.392674,1.000000,-1.374450
191,5.000000,300.000000,300,-0.278769,0.980000,-1.297850
192,4.000000,300.000000,300,0.000000,0.720000,-1.394120
193,5.500000,300.000000,300,-0.638800,1.120000,-1.408500
194,4.500000,300.000000,300,-0.040049,0.860000,-1.348730
195,4.500000,300.000000,300,-0.040049,0.820000,-1.370570
196,6.500000,300.000000,300,0.000000,1.160000,-1.294980
197,4.500000,300.000000,300,-0.270552,0.880000,-1.330020
198,4.000000,300.000000,300,-0.022340,0.730000,-1.283270
199,5.000000,300.000000,300,0.000000,1.000000,-1.345920
200,5.500000,300.000000,300,0.000000,1.250000,-1.351750
201,5.000000,300.000000,300,-0.366925,1.040000,-1.333810
202,8.000000,300.000000,300,-0.253639,1.420000,-1.370350
203,4.500000,300.000000,300,-0.022340,0.870000,-1.323230
204,5.500000,300.000000,300,0.000000,1.010000,-1.375350
205,5.500000,300.000000,300,-0.236042,0.970000,-1.310670
206,6.500000,300.000000,300,-0.236042,1.160000,-1.279080
207,4.500000,300.000000,300,0.000000,0.840000,-1.329710
208,4.500000,300.000000,300,0.000000,0.900000,-1.358220
209,4.500000,300.000000,300,-0.422709,0.900000,-1.385700
210,5.500000,300.000000,300,-0.084766,1.030000,-1.316340
211,4.000000,300.000000,300,-0.022340,0.810000,-1.320490
212,5.000000,300.000000,300,0.000000,0.980000,-1.318570
213,5.000000,300.000000,300,-0.178397,0.990000,-1.283440
214,4.000000,300.000000,300,-0.134742,0.800000,-1.389830
215,5.500000,300.000000,300,0.000000,1.070000,-1.312300
216,4.000000,300.000000,300,0.000000,0.850000,-1.408810
217,7.000000,300.000000,300,-0.339489,1.220000,-1.296130
218,5.000000,300.000000,300,-0.461132,0.900000,-1.304910
219,5.000000,300.000000,300,-0.022340,0.890000,-1.363560
220,5.500000,300.000000,300,0.000000,0.940000,-1.284440
221,6.000000,300.000000,300,-0.270552,1.150000,-1.320590
222,6.000000,300.000000,300,-0.302538,1.110000,-1.333140
223,4.500000,300.000000,300,0.000000,1.000000,-1.351820
224,4.500000,300.000000,300,0.000000,0.890000,-1.345750
225,4.500000,300.000000,300,-0.270552,0.900000,-1.321280
226,5.000000,300.000000,300,-0.022340,0.870000,-1.323160
227,5.500000,300.000000,300,0.000000,0.970000,-1.318540
228,4.500000,300.000000,300,0.000000,0.920000,-1.298080
229,5.500000,300.000000,300,-0.040049,1.180000,-1.313310
230,5.500000,300.000000,300,-0.022340,0.970000,-1.332180
231,4.500000,300.000000,300,0.000000,0.820000,-1.362250
232,4.500000,300.000000,300,0.000000,0.920000,-1.340240
233,5.000000,300.000000,300,-0.244930,0.980000,-1.311680
234,4.000000,300.000000,300,-0.339489,0.820000,-1.417120
235,4.000000,300.000000,300,-0.022340,0.830000,-1.311490
236,5.500000,300.000000,300,0.000000,1.150000,-1.313220
237,4.000000,300.000000,300,0.000000,0.750000,-1.438520
238,6.000000,300.000000,300,-0.253639,1.060000,-1.401700
239,4.500000,300.000000,300,0.000000,0.800000,-1.258970
240,4.500000,300.000000,300,0.000000,0.900000,-1.400180
241,5.000000,300.000000,300,-0.084766,0.940000,-1.229720
242,4.000000,300.000000,300,-0.084766,0.900000,-1.421660
243,6.000000,300.000000,300,-0.022340,1.140000,-1.330830
244,4.500000,300.000000,300,0.000000,0.880000,-1.285720
245,6.500000,300.000000,300,0.000000,1.170000,-1.331450
246,4.000000,300.000000,300,-0.188581,0.780000,-1.301950
247,4.500000,300.000000,300,0.000000,0.830000,-1.333710
248,5.000000,300.000000,300,0.000000,0.940000,-1.391670
249,5.500000,300.000000,300,-0.056002,1.100000,-1.229640
250,4.000000,300.000000,300,-0.317697,0.830000,-1.362570
251,6.000000,300.000000,300,0.000000,1.030000,-1.350530
252,4.500000,300.000000,300,0.000000,0.820000,-1.341740
253,5.000000,300.000000,300,0.000000,0.890000,-1.343160
254,5.000000,300.000000,300,-0.428448,0.910000,-1.322700
255,5.000000,300.000000,300,0.000000,1.120000,-1.377580
256,12.333300,592.000000,1712,0.000000,9.220000,-1.258580
257,9.666670,473.000000,1025,-0.691490,4.690000,-1.437550
258,12.333300,593.333000,1689,-0.091562,8.790000,-1.271900
